level,f90,zeroten2,hexagons,tv 5000k,tv 6500k,corner 6500k,piano,relay1,relay2
157,0,157,177,151,203,141,202,157,157
158,0,158,180,154,204,133,203,158,158
159,0,159,182,157,205,123,204,159,159
160,0,160,185,160,206,105,205,160,160
161,0,161,188,162,207,66,206,161,161
162,0,162,190,164,208,0,207,162,162
163,0,163,193,165,209,0,208,163,163
164,0,164,195,166,210,0,209,164,164
165,0,165,198,167,211,0,210,165,165
166,0,166,200,168,212,0,211,166,166
167,0,167,203,169,213,0,212,167,167
168,0,168,205,170,214,0,213,168,168
169,0,169,208,171,215,0,214,169,169
170,0,170,210,172,216,0,215,170,170
171,0,171,211,173,216,0,216,171,171
172,0,172,212,174,216,0,217,172,172
173,0,173,213,175,215,0,218,173,173
174,0,174,214,176,215,0,219,174,174
175,0,175,215,177,215,0,220,175,175
176,0,176,216,178,214,0,221,176,176
177,0,177,217,179,214,0,222,177,177
178,0,178,218,180,213,0,223,178,178
179,0,179,219,181,213,0,224,179,179
180,0,180,220,182,212,0,225,180,180
181,0,181,221,183,211,0,226,181,181
182,0,182,222,184,209,0,227,182,182
183,0,183,223,185,208,0,228,183,183
184,0,184,224,186,206,0,229,184,184
185,0,185,225,187,204,0,230,185,185
186,0,186,226,188,202,0,231,186,186
187,0,187,227,189,199,0,232,187,187
188,0,188,228,190,196,0,233,188,188
189,0,189,229,191,192,0,234,189,189
190,0,190,230,192,186,0,235,190,190
191,0,191,231,193,180,0,236,191,191
192,0,192,232,194,171,0,237,192,192
193,0,193,233,195,158,0,238,193,193
194,0,194,234,196,135,0,239,194,194
195,0,195,235,197,27,0,240,195,195
196,73,196,235,198,0,0,241,196,196
197,101,197,236,199,0,0,242,197,197
198,117,198,236,200,0,0,243,198,198
199,129,199,236,201,0,0,244,199,199
200,139,200,236,202,0,0,245,200,200
201,147,201,237,203,0,0,246,201,201
202,155,202,237,204,0,0,247,202,202
203,161,203,237,205,0,0,248,203,203
204,167,204,237,206,0,0,249,204,204
205,172,205,237,207,0,0,250,205,205
206,177,206,237,208,0,0,251,206,206
207,182,207,237,209,0,0,252,207,207
208,187,208,237,210,0,0,253,208,208
209,191,209,237,211,0,0,254,209,209
210,195,210,237,212,0,0,254,210,210
211,199,211,236,213,0,0,254,211,211
212,203,212,236,214,0,0,254,212,212
213,206,213,235,215,0,0,254,213,213
214,210,214,235,216,0,0,254,214,214
215,213,215,234,217,0,0,254,215,215
216,217,216,233,218,0,0,254,216,216
217,220,217,232,219,0,0,254,217,217
218,223,218,231,220,0,0,254,218,218
219,226,219,229,221,0,0,254,219,219
220,229,220,227,222,0,0,254,220,220
221,232,221,225,223,0,0,254,221,221
222,235,222,223,224,0,0,254,222,222
223,238,223,220,225,0,0,254,223,223
224,241,224,217,226,0,0,254,224,224
225,244,225,213,227,0,0,254,225,225
226,246,226,207,228,0,0,254,226,226
227,249,227,201,229,0,0,254,227,227
228,252,228,192,230,0,0,254,228,228
229,254,229,185,231,0,0,254,229,229
230,254,230,188,232,0,0,254,230,230
231,254,231,191,233,0,0,254,231,231
232,254,232,194,234,0,0,254,232,232
233,254,233,197,235,0,0,254,233,233
234,254,234,199,236,0,0,254,234,234
235,254,235,202,237,0,0,254,235,235
236,254,236,205,238,0,0,254,236,236
237,254,237,208,239,0,0,254,237,237
238,254,238,210,240,0,0,254,238,238
239,254,239,213,241,0,0,254,239,239
240,254,240,215,242,0,0,254,240,240
241,254,241,218,243,0,0,254,241,241
242,254,242,221,244,0,0,254,242,242
243,254,243,223,245,0,0,254,243,243
244,254,244,226,246,0,0,254,244,244
245,254,245,228,247,0,0,254,245,245
246,254,246,231,248,0,0,254,246,246
247,254,247,233,249,0,0,254,247,247
248,254,248,235,250,0,0,254,248,248
249,254,249,238,251,0,0,254,249,249
250,254,250,240,252,0,0,254,250,250
251,254,251,243,253,0,0,254,251,251
252,254,252,245,254,0,0,254,252,252
253,254,253,247,254,0,0,254,253,253
254,254,254,250,254,0,0,254,254,254
