level,zeroten1,zeroten2,dalia,dalib,dalic,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
86,126,126,126,126,126,126,126,126,126,126,126,1,1,10,21,4,0.030464869
87,127,127,127,127,127,127,127,127,127,127,127,1,1,10,21,4,0.031553836
88,128,128,128,128,128,128,128,128,128,128,128,1,1,10,21,4,0.032676688
89,129,129,129,129,129,129,129,129,129,129,129,1,1,10,21,4,0.033834261
90,131,131,131,131,131,131,131,131,131,131,131,1,1,10,21,4,0.035027402
91,132,132,132,132,132,132,132,132,132,132,132,1,1,10,20,4,0.036256967
92,133,133,133,133,133,133,133,133,133,133,133,1,1,10,20,4,0.037523827
93,135,135,135,135,135,135,135,135,135,135,135,1,1,10,20,4,0.038828862
94,136,136,136,136,136,136,136,136,136,136,136,1,1,10,20,5,0.040172963
95,137,137,137,137,137,137,137,137,137,137,137,1,1,10,20,5,0.041557031
96,138,138,138,138,138,138,138,138,138,138,138,1,1,10,20,5,0.042981978
97,139,139,139,139,139,139,139,139,139,139,139,1,1,10,20,5,0.044448726
98,141,141,141,141,141,141,141,141,141,141,141,1,1,10,20,5,0.045958206
99,142,142,142,142,142,142,142,142,142,142,142,1,1,10,20,5,0.047511359
100,143,143,143,143,143,143,143,143,143,143,143,1,1,10,20,5,0.049109135
101,144,144,144,144,144,144,144,144,144,144,144,1,1,10,20,5,0.050752492
102,146,146,146,146,146,146,146,146,146,146,146,1,1,10,20,5,0.052442395
103,147,147,147,147,147,147,147,147,147,147,147,1,1,10,20,6,0.054179817
104,148,148,148,148,148,148,148,148,148,148,148,1,1,10,20,6,0.055965741
105,149,149,149,149,149,149,149,149,149,149,149,1,1,10,20,6,0.057801153
106,150,150,150,150,150,150,150,150,150,150,150,1,1,10,20,6,0.059687047
107,151,151,151,151,151,151,151,151,151,151,151,1,1,10,19,6,0.061624422
108,153,153,153,153,153,153,153,153,153,153,153,1,1,10,19,6,0.063614282
109,154,154,154,154,154,154,154,154,154,154,154,1,1,10,19,6,0.065657636
110,155,155,155,155,155,155,155,155,155,155,155,1,1,10,19,6,0.067755496
111,156,156,156,156,156,156,156,156,156,156,156,1,1,10,19,6,0.069908879
112,157,157,157,157,157,157,157,157,157,157,157,1,1,10,19,7,0.072118801
113,158,158,158,158,158,158,158,158,158,158,158,1,1,10,19,7,0.074386285
114,159,159,159,159,159,159,159,159,159,159,159,1,1,10,19,7,0.07671235
115,161,161,161,161,161,161,161,161,161,161,161,1,1,10,19,7,0.079098019
116,162,162,162,162,162,162,162,162,162,162,162,1,1,10,19,7,0.081544312
117,163,163,163,163,163,163,163,163,163,163,163,1,1,10,19,7,0.084052251
118,164,164,164,164,164,164,164,164,164,164,164,1,1,10,19,7,0.086622854
119,165,165,165,165,165,165,165,165,165,165,165,1,1,10,19,7,0.089257137
120,166,166,166,166,166,166,166,166,166,166,166,1,1,9,19,7,0.091956111
121,167,167,167,167,167,167,167,167,167,167,167,1,1,9,19,8,0.094720784
122,168,168,168,168,168,168,168,168,168,168,168,1,1,9,19,8,0.097552158
123,169,169,169,169,169,169,169,169,169,169,169,1,1,9,18,8,0.10045123
124,170,170,170,170,170,170,170,170,170,170,170,1,1,9,18,8,0.10341899
125,171,171,171,171,171,171,171,171,171,171,171,1,1,9,18,8,0.10645641
126,173,173,173,173,173,173,173,173,173,173,173,1,1,9,18,8,0.10956447
127,174,174,174,174,174,174,174,174,174,174,174,1,1,9,18,8,0.11274413
128,175,175,175,175,175,175,175,175,175,175,175,1,1,9,18,8,0.11599633
129,176,176,176,176,176,176,176,176,176,176,176,1,1,9,18,9,0.11932202
130,177,177,177,177,177,177,177,177,177,177,177,1,1,9,18,9,0.12272212
131,178,178,178,178,178,178,178,178,178,178,178,1,1,9,18,9,0.12619754
132,179,179,179,179,179,179,179,179,179,179,179,1,1,9,18,9,0.12974916
133,180,180,180,180,180,180,180,180,180,180,180,1,1,9,18,9,0.13337788
134,181,181,181,181,181,181,181,181,181,181,181,1,1,9,18,9,0.13708454
135,182,182,182,182,182,182,182,182,182,182,182,1,1,9,18,9,0.14086998
136,183,183,183,183,183,183,183,183,183,183,183,1,1,9,18,9,0.14473503
137,184,184,184,184,184,184,184,184,184,184,184,1,1,9,18,9,0.14868048
138,185,185,185,185,185,185,185,185,185,185,185,1,1,9,18,10,0.1527071
139,186,186,186,186,186,186,186,186,186,186,186,1,1,9,17,10,0.15681565
140,187,187,187,187,187,187,187,187,187,187,187,1,1,9,17,10,0.16100685
141,188,188,188,188,188,188,188,188,188,188,188,1,1,9,17,10,0.1652814
142,189,189,189,189,189,189,189,189,189,189,189,1,1,9,17,10,0.16963997
143,189,189,189,189,189,189,189,189,189,189,189,1,1,9,17,10,0.1740832
144,190,190,190,190,190,190,190,190,190,190,190,1,1,9,17,10,0.17861171
145,191,191,191,191,191,191,191,191,191,191,191,1,1,9,17,10,0.18322606
146,192,192,192,192,192,192,192,192,192,192,192,1,1,9,17,10,0.18792681
147,193,193,193,193,193,193,193,193,193,193,193,1,1,9,17,11,0.19271447
148,194,194,194,194,194,194,194,194,194,194,194,1,1,9,17,11,0.19758952
149,195,195,195,195,195,195,195,195,195,195,195,1,1,9,17,11,0.20255239
150,196,196,196,196,196,196,196,196,196,196,196,1,1,9,17,11,0.20760348
151,197,197,197,197,197,197,197,197,197,197,197,1,1,9,17,11,0.21274316
152,198,198,198,198,198,198,198,198,198,198,198,1,1,9,17,11,0.21797174
153,199,199,199,199,199,199,199,199,199,199,199,1,1,9,17,11,0.2232895
154,199,199,199,199,199,199,199,199,199,199,199,1,1,9,17,11,0.22869668
155,200,200,200,200,200,200,200,200,200,200,200,1,1,9,16,11,0.23419346
156,201,201,201,201,201,201,201,201,201,201,201,1,1,9,16,12,0.23977998
157,202,202,202,202,202,202,202,202,202,202,202,1,1,9,16,12,0.24545635
158,203,203,203,203,203,203,203,203,203,203,203,1,1,9,16,12,0.25122261
159,204,204,204,204,204,204,204,204,204,204,204,1,1,9,16,12,0.25707875
160,205,205,205,205,205,205,205,205,205,205,205,1,1,9,16,12,0.26302473
161,205,205,205,205,205,205,205,205,205,205,205,1,1,9,16,12,0.26906042
162,206,206,206,206,206,206,206,206,206,206,206,1,1,9,16,12,0.27518568
163,207,207,207,207,207,207,207,207,207,207,207,1,1,9,16,12,0.28140028
164,208,208,208,208,208,208,208,208,208,208,208,1,1,9,16,13,0.28770395
165,209,209,209,209,209,209,209,209,209,209,209,1,1,9,16,13,0.29409637
166,209,209,209,209,209,209,209,209,209,209,209,1,1,9,16,13,0.30057714
167,210,210,210,210,210,210,210,210,210,210,210,1,1,9,16,13,0.30714582
168,211,211,211,211,211,211,211,211,211,211,211,1,1,9,16,13,0.31380191
169,212,212,212,212,212,212,212,212,212,212,212,1,1,9,16,13,0.32054483
170,213,213,213,213,213,213,213,213,213,213,213,1,1,9,15,13,0.32737396
171,213,213,213,213,213,213,213,213,213,213,213,1,1,8,15,13,0.3342886
172,214,214,214,214,214,214,214,214,214,214,214,1,1,8,15,13,0.34128799
173,215,215,215,215,215,215,215,215,215,215,215,1,1,8,15,14,0.34837131
174,216,216,216,216,216,216,216,216,216,216,216,1,1,8,15,14,0.35553767
175,216,216,216,216,216,216,216,216,216,216,216,1,1,8,15,14,0.36278612
176,217,217,217,217,217,217,217,217,217,217,217,1,1,8,15,14,0.37011564
177,218,218,218,218,218,218,218,218,218,218,218,1,1,8,15,14,0.37752512
178,219,219,219,219,219,219,219,219,219,219,219,1,1,8,15,14,0.38501342
179,219,219,219,219,219,219,219,219,219,219,219,1,1,8,15,14,0.39257931
180,220,220,220,220,220,220,220,220,220,220,220,1,1,8,15,14,0.40022149
181,221,221,221,221,221,221,221,221,221,221,221,1,1,8,15,14,0.40793859
182,221,221,221,221,221,221,221,221,221,221,221,1,1,9,15,14,0.41572917
183,222,222,222,222,222,222,222,222,222,222,222,1,1,9,14,14,0.42359172
184,223,223,223,223,223,223,223,223,223,223,223,1,1,10,14,14,0.43152467
185,223,223,223,223,223,223,223,223,223,223,223,1,1,10,14,14,0.43952636
186,224,224,224,224,224,224,224,224,224,224,224,1,1,11,14,14,0.44759507
187,225,225,225,225,225,225,225,225,225,225,225,1,1,11,13,14,0.45572901
188,225,225,225,225,225,225,225,225,225,225,225,1,1,11,13,14,0.4639263
189,226,226,226,226,226,226,226,226,226,226,226,1,1,12,13,14,0.47218502
190,227,227,227,227,227,227,227,227,227,227,227,1,1,12,13,14,0.48050315
191,227,227,227,227,227,227,227,227,227,227,227,1,1,13,13,14,0.48887861
192,228,228,228,228,228,228,228,228,228,228,228,1,1,13,12,14,0.49730926
193,229,229,229,229,229,229,229,229,229,229,229,1,1,14,12,14,0.50579287
194,229,229,229,229,229,229,229,229,229,229,229,1,1,14,12,14,0.51432714
195,230,230,230,230,230,230,230,230,230,230,230,1,1,15,12,14,0.52290973
196,230,230,230,230,230,230,230,230,230,230,230,1,1,15,11,14,0.53153819
197,231,231,231,231,231,231,231,231,231,231,231,1,1,16,11,14,0.54021002
198,232,232,232,232,232,232,232,232,232,232,232,1,1,16,11,14,0.54892267
199,232,232,232,232,232,232,232,232,232,232,232,1,1,16,11,14,0.5576735
200,233,233,233,233,233,233,233,233,233,233,233,1,1,17,11,14,0.5664598
201,233,233,233,233,233,233,233,233,233,233,233,1,1,17,10,14,0.57527882
202,234,234,234,234,234,234,234,234,234,234,234,1,1,18,10,14,0.58412772
203,234,234,234,234,234,234,234,234,234,234,234,1,1,18,10,14,0.59300361
204,235,235,235,235,235,235,235,235,235,235,235,1,1,19,10,14,0.60190353
205,235,235,235,235,235,235,235,235,235,235,235,1,1,19,10,14,0.61082448
206,236,236,236,236,236,236,236,236,236,236,236,1,1,20,9,14,0.61976337
207,237,237,237,237,237,237,237,237,237,237,237,1,1,20,9,14,0.62871708
208,237,237,237,237,237,237,237,237,237,237,237,1,1,20,9,14,0.63768241
209,238,238,238,238,238,238,238,238,238,238,238,1,1,20,9,14,0.64665613
210,238,238,238,238,238,238,238,238,238,238,238,1,1,20,9,14,0.65563494
211,239,239,239,239,239,239,239,239,239,239,239,1,1,20,9,13,0.66461548
212,239,239,239,239,239,239,239,239,239,239,239,1,1,20,9,13,0.67359437
213,240,240,240,240,240,240,240,240,240,240,240,1,1,20,8,13,0.68256816
214,240,240,240,240,240,240,240,240,240,240,240,1,1,21,8,13,0.69153335
215,240,240,240,240,240,240,240,240,240,240,240,1,1,21,8,13,0.70048641
216,241,241,241,241,241,241,241,241,241,241,241,1,1,21,8,13,0.70942377
217,241,241,241,241,241,241,241,241,241,241,241,1,1,21,8,12,0.71834182
218,242,242,242,242,242,242,242,242,242,242,242,1,1,21,8,12,0.72723689
219,242,242,242,242,242,242,242,242,242,242,242,1,1,21,8,12,0.7361053
220,243,243,243,243,243,243,243,243,243,243,243,1,1,21,8,12,0.74494333
221,243,243,243,243,243,243,243,243,243,243,243,1,1,21,7,12,0.75374722
222,244,244,244,244,244,244,244,244,244,244,244,1,1,21,7,12,0.76251321
223,244,244,244,244,244,244,244,244,244,244,244,1,1,22,7,12,0.77123749
224,244,244,244,244,244,244,244,244,244,244,244,1,1,22,7,11,0.77991623
225,245,245,245,245,245,245,245,245,245,245,245,1,1,22,7,11,0.78854559
226,245,245,245,245,245,245,245,245,245,245,245,1,1,22,7,11,0.79712169
227,246,246,246,246,246,246,246,246,246,246,246,1,1,22,7,11,0.80564068
228,246,246,246,246,246,246,246,246,246,246,246,1,1,22,7,11,0.81409865
229,246,246,246,246,246,246,246,246,246,246,246,1,1,22,6,11,0.82249171
230,247,247,247,247,247,247,247,247,247,247,247,1,1,22,6,11,0.83081596
231,247,247,247,247,247,247,247,247,247,247,247,1,1,22,6,10,0.83906749
232,247,247,247,247,247,247,247,247,247,247,247,1,1,23,6,10,0.84724239
233,248,248,248,248,248,248,248,248,248,248,248,1,1,23,6,10,0.85533676
234,248,248,248,248,248,248,248,248,248,248,248,1,1,23,6,10,0.86334671
235,248,248,248,248,248,248,248,248,248,248,248,1,1,23,6,10,0.87126834
236,249,249,249,249,249,249,249,249,249,249,249,1,1,23,6,10,0.87909778
237,249,249,249,249,249,249,249,249,249,249,249,1,1,23,5,9,0.88683117
238,249,249,249,249,249,249,249,249,249,249,249,1,1,23,5,9,0.89446466
239,250,250,250,250,250,250,250,250,250,250,250,1,1,23,5,9,0.90199445
240,250,250,250,250,250,250,250,250,250,250,250,1,1,23,5,9,0.90941672
241,250,250,250,250,250,250,250,250,250,250,250,1,1,23,5,9,0.91672771
242,251,251,251,251,251,251,251,251,251,251,251,1,1,24,5,9,0.92392369
243,251,251,251,251,251,251,251,251,251,251,251,1,1,24,5,9,0.93100096
244,251,251,251,251,251,251,251,251,251,251,251,1,1,24,5,8,0.93795584
245,251,251,251,251,251,251,251,251,251,251,251,1,1,24,4,8,0.94478471
246,252,252,252,252,252,252,252,252,252,252,252,1,1,24,4,8,0.95148399
247,252,252,252,252,252,252,252,252,252,252,252,1,1,24,4,8,0.95805015
248,252,252,252,252,252,252,252,252,252,252,252,1,1,24,4,8,0.9644797
249,252,252,252,252,252,252,252,252,252,252,252,1,1,24,4,8,0.9707692
250,253,253,253,253,253,253,253,253,253,253,253,1,1,24,4,7,0.97691528
251,253,253,253,253,253,253,253,253,253,253,253,1,1,25,4,7,0.98291463
252,253,253,253,253,253,253,253,253,253,253,253,1,1,25,4,7,0.98876398
253,253,253,253,253,253,253,253,253,253,253,253,1,1,25,3,7,0.99446014
254,254,254,254,254,254,254,254,254,254,254,254,1,1,25,3,7,1
