level,zeroten1,zeroten2,dalia,dalib,dalic,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
49,49,49,49,49,49,49,49,49,49,49,49,1,1,16,21,1,0.14833033
50,50,50,50,50,50,50,50,50,50,50,50,1,1,16,21,1,0.15243604
51,51,51,51,51,51,51,51,51,51,51,51,1,1,15,21,1,0.1566554
52,52,52,52,52,52,52,52,52,52,52,52,1,1,15,21,1,0.16099155
53,53,53,53,53,53,53,53,53,53,53,53,1,1,15,21,1,0.16544772
54,54,54,54,54,54,54,54,54,54,54,54,1,1,14,22,1,0.17002723
55,55,55,55,55,55,55,55,55,55,55,55,1,1,14,22,1,0.17473351
56,56,56,56,56,56,56,56,56,56,56,56,1,1,14,22,1,0.17957005
57,57,57,57,57,57,57,57,57,57,57,57,1,1,13,22,1,0.18454047
58,58,58,58,58,58,58,58,58,58,58,58,1,1,13,22,1,0.18964846
59,59,59,59,59,59,59,59,59,59,59,59,1,1,12,22,1,0.19489784
60,60,60,60,60,60,60,60,60,60,60,60,1,1,12,22,1,0.20029252
61,61,61,61,61,61,61,61,61,61,61,61,1,1,12,22,1,0.20583653
62,62,62,62,62,62,62,62,62,62,62,62,1,1,11,22,1,0.21153398
63,63,63,63,63,63,63,63,63,63,63,63,1,1,11,22,1,0.21738915
64,64,64,64,64,64,64,64,64,64,64,64,1,1,11,22,1,0.22340638
65,65,65,65,65,65,65,65,65,65,65,65,1,1,11,22,1,0.22959016
66,66,66,66,66,66,66,66,66,66,66,66,1,1,11,22,1,0.23594511
67,67,67,67,67,67,67,67,67,67,67,67,1,1,11,22,1,0.24247596
68,68,68,68,68,68,68,68,68,68,68,68,1,1,11,22,2,0.24918758
69,69,69,69,69,69,69,69,69,69,69,69,1,1,10,22,2,0.25608498
70,70,70,70,70,70,70,70,70,70,70,70,1,1,10,22,2,0.26317329
71,71,71,71,71,71,71,71,71,71,71,71,1,1,10,22,2,0.2704578
72,72,72,72,72,72,72,72,72,72,72,72,1,1,10,22,2,0.27794395
73,73,73,73,73,73,73,73,73,73,73,73,1,1,10,22,2,0.28563731
74,74,74,74,74,74,74,74,74,74,74,74,1,1,10,22,2,0.29354362
75,75,75,75,75,75,75,75,75,75,75,75,1,1,10,21,2,0.30166877
76,76,76,76,76,76,76,76,76,76,76,76,1,1,10,21,2,0.31001882
77,77,77,77,77,77,77,77,77,77,77,77,1,1,10,21,3,0.31859999
78,78,78,78,78,78,78,78,78,78,78,78,1,1,10,21,3,0.32741869
79,79,79,79,79,79,79,79,79,79,79,79,1,1,10,21,3,0.33648149
80,80,80,80,80,80,80,80,80,80,80,80,1,1,10,21,3,0.34579514
81,81,81,81,81,81,81,81,81,81,81,81,1,1,10,21,3,0.35536659
82,82,82,82,82,82,82,82,82,82,82,82,1,1,10,21,3,0.36520297
83,83,83,83,83,83,83,83,83,83,83,83,1,1,10,21,3,0.37531162
84,84,84,84,84,84,84,84,84,84,84,84,1,1,10,21,3,0.38570007
85,85,85,85,85,85,85,85,85,85,85,85,1,1,10,21,3,0.39637607
86,86,86,86,86,86,86,86,86,86,86,86,1,1,10,21,4,0.40734757
87,87,87,87,87,87,87,87,87,87,87,87,1,1,10,21,4,0.41862276
88,88,88,88,88,88,88,88,88,88,88,88,1,1,10,21,4,0.43021004
89,89,89,89,89,89,89,89,89,89,89,89,1,1,10,21,4,0.44211806
90,90,90,90,90,90,90,90,90,90,90,90,1,1,10,21,4,0.45435568
91,91,91,91,91,91,91,91,91,91,91,91,1,1,10,20,4,0.46693203
92,92,92,92,92,92,92,92,92,92,92,92,1,1,10,20,4,0.47985649
93,93,93,93,93,93,93,93,93,93,93,93,1,1,10,20,4,0.4931387
94,94,94,94,94,94,94,94,94,94,94,94,1,1,10,20,5,0.50678854
95,95,95,95,95,95,95,95,95,95,95,95,1,1,10,20,5,0.52081622
96,96,96,96,96,96,96,96,96,96,96,96,1,1,10,20,5,0.53523217
97,97,97,97,97,97,97,97,97,97,97,97,1,1,10,20,5,0.55004714
98,98,98,98,98,98,98,98,98,98,98,98,1,1,10,20,5,0.56527219
99,99,99,99,99,99,99,99,99,99,99,99,1,1,10,20,5,0.58091866
100,100,100,100,100,100,100,100,100,100,100,100,1,1,10,20,5,0.59699822
101,101,101,101,101,101,101,101,101,101,101,101,1,1,10,20,5,0.61352285
102,102,102,102,102,102,102,102,102,102,102,102,1,1,10,20,5,0.63050488
103,103,103,103,103,103,103,103,103,103,103,103,1,1,10,20,6,0.64795696
104,104,104,104,104,104,104,104,104,104,104,104,1,1,10,20,6,0.6658921
105,105,105,105,105,105,105,105,105,105,105,105,1,1,10,20,6,0.68432369
106,106,106,106,106,106,106,106,106,106,106,106,1,1,10,20,6,0.70326545
107,107,107,107,107,107,107,107,107,107,107,107,1,1,10,19,6,0.72273151
108,108,108,108,108,108,108,108,108,108,108,108,1,1,10,19,6,0.74273638
109,109,109,109,109,109,109,109,109,109,109,109,1,1,10,19,6,0.76329497
110,110,110,110,110,110,110,110,110,110,110,110,1,1,10,19,6,0.78442262
111,111,111,111,111,111,111,111,111,111,111,111,1,1,10,19,6,0.80613507
112,112,112,112,112,112,112,112,112,112,112,112,1,1,10,19,7,0.82844852
113,113,113,113,113,113,113,113,113,113,113,113,1,1,10,19,7,0.85137959
114,114,114,114,114,114,114,114,114,114,114,114,1,1,10,19,7,0.87494538
115,115,115,115,115,115,115,115,115,115,115,115,1,1,10,19,7,0.89916346
116,116,116,116,116,116,116,116,116,116,116,116,1,1,10,19,7,0.92405188
117,117,117,117,117,117,117,117,117,117,117,117,1,1,10,19,7,0.9496292
118,118,118,118,118,118,118,118,118,118,118,118,1,1,10,19,7,0.9759145
119,119,119,119,119,119,119,119,119,119,119,119,1,1,10,19,7,1.0029274
120,120,120,120,120,120,120,120,120,120,120,120,1,1,9,19,7,1.0306879
121,121,121,121,121,121,121,121,121,121,121,121,1,1,9,19,8,1.0592169
122,122,122,122,122,122,122,122,122,122,122,122,1,1,9,19,8,1.0885355
123,123,123,123,123,123,123,123,123,123,123,123,1,1,9,18,8,1.1186657
124,124,124,124,124,124,124,124,124,124,124,124,1,1,9,18,8,1.1496298
125,125,125,125,125,125,125,125,125,125,125,125,1,1,9,18,8,1.181451
126,126,126,126,126,126,126,126,126,126,126,126,1,1,9,18,8,1.214153
127,127,127,127,127,127,127,127,127,127,127,127,1,1,9,18,8,1.2477602
128,128,128,128,128,128,128,128,128,128,128,128,1,1,9,18,8,1.2822976
129,129,129,129,129,129,129,129,129,129,129,129,1,1,9,18,9,1.317791
130,130,130,130,130,130,130,130,130,130,130,130,1,1,9,18,9,1.3542669
131,131,131,131,131,131,131,131,131,131,131,131,1,1,9,18,9,1.3917524
132,132,132,132,132,132,132,132,132,132,132,132,1,1,9,18,9,1.4302754
133,133,133,133,133,133,133,133,133,133,133,133,1,1,9,18,9,1.4698648
134,134,134,134,134,134,134,134,134,134,134,134,1,1,9,18,9,1.5105499
135,135,135,135,135,135,135,135,135,135,135,135,1,1,9,18,9,1.5523613
136,136,136,136,136,136,136,136,136,136,136,136,1,1,9,18,9,1.5953299
137,137,137,137,137,137,137,137,137,137,137,137,1,1,9,18,9,1.6394879
138,138,138,138,138,138,138,138,138,138,138,138,1,1,9,18,10,1.6848681
139,139,139,139,139,139,139,139,139,139,139,139,1,1,9,17,10,1.7315045
140,140,140,140,140,140,140,140,140,140,140,140,1,1,9,17,10,1.7794317
141,141,141,141,141,141,141,141,141,141,141,141,1,1,9,17,10,1.8286856
142,142,142,142,142,142,142,142,142,142,142,142,1,1,9,17,10,1.8793028
143,143,143,143,143,143,143,143,143,143,143,143,1,1,9,17,10,1.931321
144,144,144,144,144,144,144,144,144,144,144,144,1,1,9,17,10,1.984779
145,145,145,145,145,145,145,145,145,145,145,145,1,1,9,17,10,2.0397168
146,146,146,146,146,146,146,146,146,146,146,146,1,1,9,17,10,2.0961752
147,147,147,147,147,147,147,147,147,147,147,147,1,1,9,17,11,2.1541964
148,148,148,148,148,148,148,148,148,148,148,148,1,1,9,17,11,2.2138235
149,149,149,149,149,149,149,149,149,149,149,149,1,1,9,17,11,2.2751011
150,150,150,150,150,150,150,150,150,150,150,150,1,1,9,17,11,2.3380748
151,151,151,151,151,151,151,151,151,151,151,151,1,1,9,17,11,2.4027917
152,152,152,152,152,152,152,152,152,152,152,152,1,1,9,17,11,2.4692998
153,153,153,153,153,153,153,153,153,153,153,153,1,1,9,17,11,2.5376489
154,154,154,154,154,154,154,154,154,154,154,154,1,1,9,17,11,2.6078898
155,155,155,155,155,155,155,155,155,155,155,155,1,1,9,16,11,2.680075
156,156,156,156,156,156,156,156,156,156,156,156,1,1,9,16,12,2.7542582
157,157,157,157,157,157,157,157,157,157,157,157,1,1,9,16,12,2.8304948
158,158,158,158,158,158,158,158,158,158,158,158,1,1,9,16,12,2.9088416
159,159,159,159,159,159,159,159,159,159,159,159,1,1,9,16,12,2.989357
160,160,160,160,160,160,160,160,160,160,160,160,1,1,9,16,12,3.072101
161,161,161,161,161,161,161,161,161,161,161,161,1,1,9,16,12,3.1571353
162,162,162,162,162,162,162,162,162,162,162,162,1,1,9,16,12,3.2445233
163,163,163,163,163,163,163,163,163,163,163,163,1,1,9,16,12,3.3343302
164,164,164,164,164,164,164,164,164,164,164,164,1,1,9,16,13,3.4266229
165,165,165,165,165,165,165,165,165,165,165,165,1,1,9,16,13,3.5214702
166,166,166,166,166,166,166,166,166,166,166,166,1,1,9,16,13,3.6189429
167,167,167,167,167,167,167,167,167,167,167,167,1,1,9,16,13,3.7191135
168,168,168,168,168,168,168,168,168,168,168,168,1,1,9,16,13,3.8220569
169,169,169,169,169,169,169,169,169,169,169,169,1,1,9,16,13,3.9278496
170,170,170,170,170,170,170,170,170,170,170,170,1,1,9,15,13,4.0365707
171,171,171,171,171,171,171,171,171,171,171,171,1,1,8,15,13,4.1483011
172,172,172,172,172,172,172,172,172,172,172,172,1,1,8,15,13,4.2631241
173,173,173,173,173,173,173,173,173,173,173,173,1,1,8,15,14,4.3811254
174,174,174,174,174,174,174,174,174,174,174,174,1,1,8,15,14,4.5023929
175,175,175,175,175,175,175,175,175,175,175,175,1,1,8,15,14,4.627017
176,176,176,176,176,176,176,176,176,176,176,176,1,1,8,15,14,4.7550907
177,177,177,177,177,177,177,177,177,177,177,177,1,1,8,15,14,4.8867094
178,178,178,178,178,178,178,178,178,178,178,178,1,1,8,15,14,5.0219712
179,179,179,179,179,179,179,179,179,179,179,179,1,1,8,15,14,5.1609771
180,180,180,180,180,180,180,180,180,180,180,180,1,1,8,15,14,5.3038305
181,181,181,181,181,181,181,181,181,181,181,181,1,1,8,15,14,5.450638
182,182,182,182,182,182,182,182,182,182,182,182,1,1,9,15,14,5.6015092
183,183,183,183,183,183,183,183,183,183,183,183,1,1,9,14,14,5.7565563
184,184,184,184,184,184,184,184,184,184,184,184,1,1,10,14,14,5.9158951
185,185,185,185,185,185,185,185,185,185,185,185,1,1,10,14,14,6.0796443
186,186,186,186,186,186,186,186,186,186,186,186,1,1,11,14,14,6.2479261
187,187,187,187,187,187,187,187,187,187,187,187,1,1,11,13,14,6.4208657
188,188,188,188,188,188,188,188,188,188,188,188,1,1,11,13,14,6.5985923
189,189,189,189,189,189,189,189,189,189,189,189,1,1,12,13,14,6.7812383
190,190,190,190,190,190,190,190,190,190,190,190,1,1,12,13,14,6.9689398
191,191,191,191,191,191,191,191,191,191,191,191,1,1,13,13,14,7.1618368
192,192,192,192,192,192,192,192,192,192,192,192,1,1,13,12,14,7.3600731
193,193,193,193,193,193,193,193,193,193,193,193,1,1,14,12,14,7.5637965
194,194,194,194,194,194,194,194,194,194,194,194,1,1,14,12,14,7.7731588
195,195,195,195,195,195,195,195,195,195,195,195,1,1,15,12,14,7.9883162
196,196,196,196,196,196,196,196,196,196,196,196,1,1,15,11,14,8.2094291
197,197,197,197,197,197,197,197,197,197,197,197,1,1,16,11,14,8.4366623
198,198,198,198,198,198,198,198,198,198,198,198,1,1,16,11,14,8.6701851
199,199,199,199,199,199,199,199,199,199,199,199,1,1,16,11,14,8.9101718
200,200,200,200,200,200,200,200,200,200,200,200,1,1,17,11,14,9.1568012
201,201,201,201,201,201,201,201,201,201,201,201,1,1,17,10,14,9.4102572
202,202,202,202,202,202,202,202,202,202,202,202,1,1,18,10,14,9.6707287
203,203,203,203,203,203,203,203,203,203,203,203,1,1,18,10,14,9.93841
204,204,204,204,204,204,204,204,204,204,204,204,1,1,19,10,14,10.213501
205,205,205,205,205,205,205,205,205,205,205,205,1,1,19,10,14,10.496205
206,206,206,206,206,206,206,206,206,206,206,206,1,1,20,9,14,10.786736
207,207,207,207,207,207,207,207,207,207,207,207,1,1,20,9,14,11.085307
208,208,208,208,208,208,208,208,208,208,208,208,1,1,20,9,14,11.392143
209,209,209,209,209,209,209,209,209,209,209,209,1,1,20,9,14,11.707473
210,210,210,210,210,210,210,210,210,210,210,210,1,1,20,9,14,12.03153
211,211,211,211,211,211,211,211,211,211,211,211,1,1,20,9,13,12.364557
212,212,212,212,212,212,212,212,212,212,212,212,1,1,20,9,13,12.706802
213,213,213,213,213,213,213,213,213,213,213,213,1,1,20,8,13,13.058521
214,214,214,214,214,214,214,214,214,214,214,214,1,1,21,8,13,13.419975
215,215,215,215,215,215,215,215,215,215,215,215,1,1,21,8,13,13.791433
216,216,216,216,216,216,216,216,216,216,216,216,1,1,21,8,13,14.173174
217,217,217,217,217,217,217,217,217,217,217,217,1,1,21,8,12,14.56548
218,218,218,218,218,218,218,218,218,218,218,218,1,1,21,8,12,14.968646
219,219,219,219,219,219,219,219,219,219,219,219,1,1,21,8,12,15.382971
220,220,220,220,220,220,220,220,220,220,220,220,1,1,21,8,12,15.808765
221,221,221,221,221,221,221,221,221,221,221,221,1,1,21,7,12,16.246344
222,222,222,222,222,222,222,222,222,222,222,222,1,1,21,7,12,16.696035
223,223,223,223,223,223,223,223,223,223,223,223,1,1,22,7,12,17.158174
224,224,224,224,224,224,224,224,224,224,224,224,1,1,22,7,11,17.633104
225,225,225,225,225,225,225,225,225,225,225,225,1,1,22,7,11,18.12118
226,226,226,226,226,226,226,226,226,226,226,226,1,1,22,7,11,18.622766
227,227,227,227,227,227,227,227,227,227,227,227,1,1,22,7,11,19.138235
228,228,228,228,228,228,228,228,228,228,228,228,1,1,22,7,11,19.667973
229,229,229,229,229,229,229,229,229,229,229,229,1,1,22,6,11,20.212373
230,230,230,230,230,230,230,230,230,230,230,230,1,1,22,6,11,20.771842
231,231,231,231,231,231,231,231,231,231,231,231,1,1,22,6,10,21.346797
232,232,232,232,232,232,232,232,232,232,232,232,1,1,23,6,10,21.937666
233,233,233,233,233,233,233,233,233,233,233,233,1,1,23,6,10,22.544891
234,234,234,234,234,234,234,234,234,234,234,234,1,1,23,6,10,23.168923
235,235,235,235,235,235,235,235,235,235,235,235,1,1,23,6,10,23.810228
236,236,236,236,236,236,236,236,236,236,236,236,1,1,23,6,10,24.469284
237,237,237,237,237,237,237,237,237,237,237,237,1,1,23,5,9,25.146582
238,238,238,238,238,238,238,238,238,238,238,238,1,1,23,5,9,25.842628
239,239,239,239,239,239,239,239,239,239,239,239,1,1,23,5,9,26.55794
240,240,240,240,240,240,240,240,240,240,240,240,1,1,23,5,9,27.293051
241,241,241,241,241,241,241,241,241,241,241,241,1,1,23,5,9,28.04851
242,242,242,242,242,242,242,242,242,242,242,242,1,1,24,5,9,28.82488
243,243,243,243,243,243,243,243,243,243,243,243,1,1,24,5,9,29.622739
244,244,244,244,244,244,244,244,244,244,244,244,1,1,24,5,8,30.442682
245,245,245,245,245,245,245,245,245,245,245,245,1,1,24,4,8,31.285322
246,246,246,246,246,246,246,246,246,246,246,246,1,1,24,4,8,32.151285
247,247,247,247,247,247,247,247,247,247,247,247,1,1,24,4,8,33.041217
248,248,248,248,248,248,248,248,248,248,248,248,1,1,24,4,8,33.955783
249,249,249,249,249,249,249,249,249,249,249,249,1,1,24,4,8,34.895663
250,250,250,250,250,250,250,250,250,250,250,250,1,1,24,4,7,35.861559
251,251,251,251,251,251,251,251,251,251,251,251,1,1,25,4,7,36.85419
252,252,252,252,252,252,252,252,252,252,252,252,1,1,25,4,7,37.874297
253,253,253,253,253,253,253,253,253,253,253,253,1,1,25,3,7,38.922639
254,254,254,254,254,254,254,254,254,254,254,254,1,1,25,3,7,40
